"Mar 12, 2020",18
"Mar 13, 2020",26
"Mar 14, 2020",24
"Mar 15, 2020",33
"Mar 16, 2020",45
"Mar 17, 2020",47
"Mar 18, 2020",47
"Mar 19, 2020",50
"Mar 20, 2020",64
"Mar 21, 2020",34
"Mar 22, 2020",42
"Mar 23, 2020",85
"Mar 24, 2020",82
"Mar 25, 2020",90
"Mar 26, 2020",79
"Mar 27, 2020",87
"Mar 28, 2020",83
"Mar 29, 2020",52
"Mar 30, 2020",69
"Mar 31, 2020",51
"Apr 01, 2020",61
"Apr 02, 2020",72
"Apr 03, 2020",72
"Apr 04, 2020",44
"Apr 05, 2020",36
"Apr 06, 2020",51
"Apr 07, 2020",56
"Apr 08, 2020",28
"Apr 09, 2020",34
"Apr 10, 2020",34
"Apr 11, 2020",31
"Apr 12, 2020",27
"Apr 13, 2020",30
"Apr 14, 2020",45
"Apr 15, 2020",30
"Apr 16, 2020",33
"Apr 17, 2020",27
"Apr 18, 2020",27
"Apr 19, 2020",34
"Apr 20, 2020",33
"Apr 21, 2020",38
"Apr 22, 2020",29
"Apr 23, 2020",33
"Apr 24, 2020",22
"Apr 25, 2020",27
"Apr 26, 2020",26
"Apr 27, 2020",21
"Apr 28, 2020",15
"Apr 29, 2020",15
"Apr 30, 2020",17
"May 01, 2020",16
"May 02, 2020",24
"May 03, 2020",16
"May 04, 2020",15
"May 05, 2020",17
"May 06, 2020",6
"May 07, 2020",15
"May 08, 2020",9
"May 09, 2020",10
"May 10, 2020",10
"May 11, 2020",8
"May 12, 2020",8
"May 13, 2020",6
"May 14, 2020",13
"May 15, 2020",17
"May 16, 2020",5
"May 17, 2020",4
"May 18, 2020",14
"May 19, 2020",8
"May 20, 2020",7
"May 21, 2020",6
"May 22, 2020",13
"May 23, 2020",11
"May 24, 2020",2
"May 25, 2020",6
"May 26, 2020",11
"May 27, 2020",7
"May 28, 2020",5
"May 29, 2020",9
"May 30, 2020",7
"May 31, 2020",4
"Jun 01, 2020",5
"Jun 02, 2020",6
"Jun 03, 2020",3
"Jun 04, 2020",6
"Jun 05, 2020",9
"Jun 06, 2020",2
"Jun 07, 2020",4
"Jun 08, 2020",5
"Jun 09, 2020",1
"Jun 10, 2020",1
"Jun 11, 2020",1
"Jun 12, 2020",6
"Jun 13, 2020",5
"Jun 14, 2020",2
"Jun 15, 2020",4
"Jun 16, 2020",8
"Jun 17, 2020",5
"Jun 18, 2020",5
"Jun 19, 2020",4
"Jun 20, 2020",4
"Jun 21, 2020",4
"Jun 22, 2020",6
"Jun 23, 2020",4
"Jun 24, 2020",6
"Jun 25, 2020",5
"Jun 26, 2020",1
"Jun 27, 2020",4
"Jun 28, 2020",6
"Jun 29, 2020",3
"Jun 30, 2020",0
"Jul 01, 2020",2
"Jul 02, 2020",4
"Jul 03, 2020",3
"Jul 04, 2020",0
"Jul 05, 2020",3
"Jul 06, 2020",4
"Jul 07, 2020",2
"Jul 08, 2020",1
"Jul 09, 2020",3
"Jul 10, 2020",3
"Jul 11, 2020",5
"Jul 12, 2020",1
"Jul 13, 2020",0
"Jul 14, 2020",4
"Jul 15, 2020",5
"Jul 16, 2020",1
"Jul 17, 2020",4
"Jul 18, 2020",2
"Jul 19, 2020",2
"Jul 20, 2020",4
"Jul 21, 2020",2
"Jul 22, 2020",4
"Jul 23, 2020",2
"Jul 24, 2020",2
"Jul 25, 2020",5
"Jul 26, 2020",3
"Jul 27, 2020",3
"Jul 28, 2020",2
"Jul 29, 2020",7
"Jul 30, 2020",5
"Jul 31, 2020",3
"Aug 1, 2020",4
"Aug 2, 2020",2
"Aug 3, 2020",7
"Aug 4, 2020",5
"Aug 5, 2020",7
"Aug 6, 2020",4
"Aug 7, 2020",5
"Aug 8, 2020",3
"Aug 9, 2020",3
"Aug 10, 2020",4
"Aug 11, 2020",3
"Aug 12, 2020",3
"Aug 13, 2020",4
"Aug 14, 2020",6
"Aug 15, 2020",2
"Aug 16, 2020",5
"Aug 17, 2020",8
"Aug 18, 2020",1
"Aug 19, 2020",6
"Aug 20, 2020",8
"Aug 21, 2020",5
"Aug 22, 2020",3
"Aug 23, 2020",4
"Aug 24, 2020",3
"Aug 25, 2020",4
"Aug 26, 2020",9
"Aug 27, 2020",1
"Aug 28, 2020",4
"Aug 29, 2020",2
"Aug 30, 2020",4
"Aug 31, 2020",6
"Sep 1, 2020",1
"Sep 2, 2020",5
"Sep 3, 2020",4
"Sep 4, 2020",8
"Sep 5, 2020",13
"Sep 6, 2020",9
"Sep 7, 2020",7
"Sep 8, 2020",6
"Sep 9, 2020",13
"Sep 10, 2020",14
"Sep 11, 2020",11
"Sep 12, 2020",17
"Sep 13, 2020",10
"Sep 14, 2020",13
"Sep 15, 2020",14
"Sep 16, 2020",21
"Sep 17, 2020",13
"Sep 18, 2020",14
"Sep 19, 2020",24
"Sep 20, 2020",19
"Sep 21, 2020",21
"Sep 22, 2020",14
"Sep 23, 2020",24
"Sep 24, 2020",26
"Sep 25, 2020",18
"Sep 26, 2020",12
"Sep 27, 2020",20
"Sep 28, 2020",21
"Sep 29, 2020",14
"Sep 30, 2020",20
"Oct 1, 2020",23
"Oct 2, 2020",19
"Oct 3, 2020",11
"Oct 4, 2020",21
"Oct 5, 2020",31
"Oct 6, 2020",9
"Oct 7, 2020",17
"Oct 8, 2020",9
"Oct 9, 2020",15
"Oct 10, 2020",15
"Oct 11, 2020",14
"Oct 12, 2020",24
"Oct 13, 2020",19
"Oct 14, 2020",22
"Oct 15, 2020",21
"Oct 16, 2020",21
"Oct 17, 2020",15
"Oct 18, 2020",24
"Oct 19, 2020",25
"Oct 20, 2020",19
"Oct 21, 2020",25
"Oct 22, 2020",18
"Oct 23, 2020",27
"Oct 24, 2020",22
"Oct 25, 2020",27
"Oct 26, 2020",33
"Oct 27, 2020",35
"Oct 28, 2020",30
"Oct 29, 2020",37
"Oct 30, 2020",33
"Oct 31, 2020",40
"Nov 1, 2020",38
"Nov 2, 2020",40
"Nov 3, 2020",41
"Nov 4, 2020",52
"Nov 5, 2020",48
"Nov 6, 2020",32
"Nov 7, 2020",29
"Nov 8, 2020",39
"Nov 9, 2020",56
"Nov 10, 2020",38
"Nov 11, 2020",49
"Nov 12, 2020",34
"Nov 13, 2020",39
"Nov 14, 2020",34
"Nov 15, 2020",32
"Nov 16, 2020",51
"Nov 17, 2020",63
"Nov 18, 2020",46
"Nov 19, 2020",43
"Nov 20, 2020",42
"Nov 21, 2020",33
"Nov 22, 2020",40
"Nov 23, 2020",48
"Nov 24, 2020",40
"Nov 25, 2020",49
"Nov 26, 2020",48
"Nov 27, 2020",30
"Nov 28, 2020",31
"Nov 29, 2020",34
"Nov 30, 2020",45
"Dec 1, 2020",50
"Dec 2, 2020",54
"Dec 3, 2020",55
"Dec 4, 2020",56
"Dec 5, 2020",67
"Dec 6, 2020",69
"Dec 7, 2020",91
"Dec 8, 2020",62
"Dec 9, 2020",76
"Dec 10, 2020",100
"Dec 11, 2020",95
"Dec 12, 2020",85
"Dec 13, 2020",103
"Dec 14, 2020",127
"Dec 15, 2020",147
"Dec 16, 2020",141
"Dec 17, 2020",147
"Dec 18, 2020",149
"Dec 19, 2020",153
"Dec 20, 2020",128
"Dec 21, 2020",184
"Dec 22, 2020",148
"Dec 23, 2020",153
"Dec 24, 2020",122
"Dec 25, 2020",168
"Dec 26, 2020",145
"Dec 27, 2020",138
"Dec 28, 2020",210
"Dec 29, 2020",145
"Dec 30, 2020",127
"Dec 31, 2020",122
"Jan 1, 2021",150
"Jan 2, 2021",139
"Jan 3, 2021",116
"Jan 4, 2021",158
"Jan 5, 2021",105
"Jan 6, 2021",134
"Jan 7, 2021",140
"Jan 8, 2021",118
"Jan 9, 2021",113
"Jan 10, 2021",107
"Jan 11, 2021",124
"Jan 12, 2021",99
"Jan 13, 2021",107
"Jan 14, 2021",91
"Jan 15, 2021",101
"Jan 16, 2021",79
"Jan 17, 2021",81
"Jan 18, 2021",128
"Jan 19, 2021",107
"Jan 20, 2021",67
"Jan 21, 2021",90
"Jan 22, 2021",81
"Jan 23, 2021",59
"Jan 24, 2021",61
"Jan 25, 2021",73
"Jan 26, 2021",50
"Jan 27, 2021",58
"Jan 28, 2021",51
"Jan 29, 2021",50
"Jan 30, 2021",29
"Jan 31, 2021",42
"Feb 1, 2021",48
"Feb 2, 2021",38
"Feb 3, 2021",32
"Feb 4, 2021",33
"Feb 5, 2021",42
"Feb 6, 2021",23
"Feb 7, 2021",32
"Feb 8, 2021",35
"Feb 9, 2021",41
"Feb 10, 2021",36
"Feb 11, 2021",27
"Feb 12, 2021",21
"Feb 13, 2021",33
"Feb 14, 2021",21
"Feb 15, 2021",28
"Feb 16, 2021",21
"Feb 17, 2021",23
"Feb 18, 2021",35
"Feb 19, 2021",33
"Feb 20, 2021",25
"Feb 21, 2021",22
"Feb 22, 2021",31
"Feb 23, 2021",27
"Feb 24, 2021",34
"Feb 25, 2021",34
"Feb 26, 2021",26
"Feb 27, 2021",27
"Feb 28, 2021",23
"Mar 1, 2021",25
"Mar 2, 2021",39
"Mar 3, 2021",32
"Mar 4, 2021",32
"Mar 5, 2021",24
"Mar 6, 2021",44
"Mar 7, 2021",27
"Mar 8, 2021",26
"Mar 9, 2021",36
"Mar 10, 2021",32
"Mar 11, 2021",32
"Mar 12, 2021",21
"Mar 13, 2021",31
"Mar 14, 2021",26
"Mar 15, 2021",29
"Mar 16, 2021",38
"Mar 17, 2021",31
"Mar 18, 2021",31
"Mar 19, 2021",20
"Mar 20, 2021",23
"Mar 21, 2021",33
"Mar 22, 2021",46
"Mar 23, 2021",25
"Mar 24, 2021",33
"Mar 25, 2021",43
"Mar 26, 2021",33
"Mar 27, 2021",39
"Mar 28, 2021",34
"Mar 29, 2021",52
"Mar 30, 2021",36
"Mar 31, 2021",47
"Apr 1, 2021",37
"Apr 2, 2021",36
"Apr 3, 2021",31
"Apr 4, 2021",29
"Apr 5, 2021",26
"Apr 6, 2021",45
"Apr 7, 2021",33
"Apr 8, 2021",36
"Apr 9, 2021",32
"Apr 10, 2021",29
"Apr 11, 2021",25
"Apr 12, 2021",34
"Apr 13, 2021",33
"Apr 14, 2021",30
"Apr 15, 2021",35
"Apr 16, 2021",28
"Apr 17, 2021",35
"Apr 18, 2021",39
"Apr 19, 2021",43
"Apr 20, 2021",38
"Apr 21, 2021",32
"Apr 22, 2021",30
"Apr 23, 2021",30
"Apr 24, 2021",32
"Apr 25, 2021",16
"Apr 26, 2021",29
"Apr 27, 2021",41
"Apr 28, 2021",34
"Apr 29, 2021",41
"Apr 30, 2021",22
"May 1, 2021",25
"May 2, 2021",28
"May 3, 2021",30
"May 4, 2021",27
"May 5, 2021",23
"May 6, 2021",26
"May 7, 2021",41
"May 8, 2021",36
"May 9, 2021",27
"May 10, 2021",48
"May 11, 2021",22
"May 12, 2021",39
"May 13, 2021",38
"May 14, 2021",46
"May 15, 2021",33
"May 16, 2021",32
"May 17, 2021",27
"May 18, 2021",25
"May 19, 2021",38
"May 20, 2021",22
"May 21, 2021",42
"May 22, 2021",23
"May 23, 2021",28
"May 24, 2021",23
"May 25, 2021",30
"May 26, 2021",31
"May 27, 2021",38
"May 28, 2021",33
"May 29, 2021",26
"May 30, 2021",20
"May 31, 2021",38
"Jun 1, 2021",29
"Jun 2, 2021",25
"Jun 3, 2021",27
"Jun 4, 2021",23
"Jun 5, 2021",14
"Jun 6, 2021",14
"Jun 7, 2021",26
"Jun 8, 2021",16
"Jun 9, 2021",30
"Jun 10, 2021",17
"Jun 11, 2021",14
"Jun 12, 2021",10
"Jun 13, 2021",19
"Jun 14, 2021",18
"Jun 15, 2021",12
"Jun 16, 2021",11
"Jun 17, 2021",7
"Jun 18, 2021",11
"Jun 19, 2021",12
"Jun 20, 2021",12
"Jun 21, 2021",7
"Jun 22, 2021",8
"Jun 23, 2021",10
"Jun 24, 2021",8
"Jun 25, 2021",8
"Jun 26, 2021",7
"Jun 27, 2021",5
"Jun 28, 2021",3
"Jun 29, 2021",4
"Jun 30, 2021",8
"Jul 1, 2021",11
"Jul 2, 2021",6
"Jul 3, 2021",3
"Jul 4, 2021",5
"Jul 5, 2021",10
"Jul 6, 2021",7
"Jul 7, 2021",8
"Jul 8, 2021",13
"Jul 9, 2021",7
"Jul 10, 2021",8
"Jul 11, 2021",13
"Jul 12, 2021",15
"Jul 13, 2021",19
"Jul 14, 2021",15
"Jul 15, 2021",17
"Jul 16, 2021",15
"Jul 17, 2021",10
"Jul 18, 2021",12
"Jul 19, 2021",18
"Jul 20, 2021",15
"Jul 21, 2021",14
"Jul 22, 2021",14
"Jul 23, 2021",14
"Jul 24, 2021",8
"Jul 25, 2021",19
"Jul 26, 2021",17
"Jul 27, 2021",24
"Jul 28, 2021",16
"Jul 29, 2021",17
"Jul 30, 2021",21
"Jul 31, 2021",11
"Aug 1, 2021",12
"Aug 2, 2021",12
"Aug 3, 2021",20
"Aug 4, 2021",15
"Aug 5, 2021",26
"Aug 6, 2021",19
"Aug 7, 2021",22
"Aug 8, 2021",17
"Aug 9, 2021",27
"Aug 10, 2021",30
"Aug 11, 2021",32
"Aug 12, 2021",26
"Aug 13, 2021",22
"Aug 14, 2021",25
"Aug 15, 2021",31
"Aug 16, 2021",31
"Aug 17, 2021",27
"Aug 18, 2021",34
"Aug 19, 2021",32
"Aug 20, 2021",29
"Aug 21, 2021",40
"Aug 22, 2021",34
"Aug 23, 2021",26
"Aug 24, 2021",34
"Aug 25, 2021",33
"Aug 26, 2021",27
"Aug 27, 2021",39
"Aug 28, 2021",27
"Aug 29, 2021",19
"Aug 30, 2021",40
"Aug 31, 2021",31
"Sep 1, 2021",30
"Sep 2, 2021",30
"Sep 3, 2021",18
"Sep 4, 2021",26
"Sep 5, 2021",23
"Sep 6, 2021",29
"Sep 7, 2021",31
"Sep 8, 2021",23
"Sep 9, 2021",27
"Sep 10, 2021",20
"Sep 11, 2021",11
"Sep 12, 2021",17
"Sep 13, 2021",22
"Sep 14, 2021",11
"Sep 15, 2021",14
"Sep 16, 2021",15
"Sep 17, 2021",12
"Sep 18, 2021",10
"Sep 19, 2021",11
"Sep 20, 2021",17
"Sep 21, 2021",13
"Sep 22, 2021",13
"Sep 23, 2021",11
"Sep 24, 2021",13
"Sep 25, 2021",12
"Sep 26, 2021",20
"Sep 27, 2021",12
"Sep 28, 2021",9
"Sep 29, 2021",17
"Sep 30, 2021",13
"Oct 1, 2021",22
"Oct 2, 2021",6
"Oct 3, 2021",9
"Oct 4, 2021",18
"Oct 5, 2021",23
"Oct 6, 2021",21
"Oct 7, 2021",11
"Oct 8, 2021",12
"Oct 9, 2021",17
"Oct 10, 2021",15
"Oct 11, 2021",17
"Oct 12, 2021",14
"Oct 13, 2021",38
"Oct 14, 2021",25
"Oct 15, 2021",31
"Oct 16, 2021",24
"Oct 17, 2021",20
"Oct 18, 2021",36
"Oct 19, 2021",23
"Oct 20, 2021",39
"Oct 21, 2021",36
"Oct 22, 2021",42
"Oct 23, 2021",35
"Oct 24, 2021",45
"Oct 25, 2021",37
"Oct 26, 2021",37
"Oct 27, 2021",55
"Oct 28, 2021",43
"Oct 29, 2021",48
"Oct 30, 2021",44
"Oct 31, 2021",47
"Nov 1, 2021",64
"Nov 2, 2021",60
"Nov 3, 2021",52
"Nov 4, 2021",63
"Nov 5, 2021",48
"Nov 6, 2021",44
"Nov 7, 2021",56
"Nov 8, 2021",63
"Nov 9, 2021",53
"Nov 10, 2021",70
"Nov 11, 2021",69
"Nov 12, 2021",77
"Nov 13, 2021",63
"Nov 14, 2021",68
"Nov 15, 2021",89
"Nov 16, 2021",84
"Nov 17, 2021",79
"Nov 18, 2021",81
"Nov 19, 2021",78
"Nov 20, 2021",84
"Nov 21, 2021",73
"Nov 22, 2021",90
"Nov 23, 2021",83
"Nov 24, 2021",73
"Nov 25, 2021",87
"Nov 26, 2021",87
"Nov 27, 2021",74
"Nov 28, 2021",77
"Nov 29, 2021",83
"Nov 30, 2021",97
"Dec 1, 2021",85
"Dec 2, 2021",88
"Dec 3, 2021",101
"Dec 4, 2021",91
"Dec 5, 2021",80
"Dec 6, 2021",115
"Dec 7, 2021",95
"Dec 8, 2021",102
"Dec 9, 2021",88
"Dec 10, 2021",118
"Dec 11, 2021",79
"Dec 12, 2021",95
"Dec 13, 2021",124
"Dec 14, 2021",106
"Dec 15, 2021",138
"Dec 16, 2021",116
"Dec 17, 2021",127
"Dec 18, 2021",107
"Dec 19, 2021",98
"Dec 20, 2021",124
"Dec 21, 2021",132
"Dec 22, 2021",147
"Dec 23, 2021",142
"Dec 24, 2021",91
"Dec 25, 2021",121
"Dec 26, 2021",112
"Dec 27, 2021",184
"Dec 28, 2021",174
"Dec 29, 2021",186
"Dec 30, 2021",172
"Dec 31, 2021",126
"Jan 1, 2022",174
"Jan 2, 2022",182
"Jan 3, 2022",229
"Jan 4, 2022",191
"Jan 5, 2022",162
"Jan 6, 2022",177
"Jan 7, 2022",148
"Jan 8, 2022",130
"Jan 9, 2022",160
"Jan 10, 2022",199
"Jan 11, 2022",210
"Jan 12, 2022",197
"Jan 13, 2022",215
"Jan 14, 2022",191
"Jan 15, 2022",171
"Jan 16, 2022",210
"Jan 17, 2022",264
"Jan 18, 2022",254
"Jan 19, 2022",227
"Jan 20, 2022",234
"Jan 21, 2022",239
"Jan 22, 2022",222
"Jan 23, 2022",249
"Jan 24, 2022",304
"Jan 25, 2022",308
"Jan 26, 2022",298
"Jan 27, 2022",311
"Jan 28, 2022",273
"Jan 29, 2022",241
"Jan 30, 2022",257
"Jan 31, 2022",344
"Feb 1, 2022",352
"Feb 2, 2022",372
"Feb 3, 2022",362
"Feb 4, 2022",369
"Feb 5, 2022",300
"Feb 6, 2022",322
"Feb 7, 2022",451
"Feb 8, 2022",420
"Feb 9, 2022",447
"Feb 10, 2022",415
"Feb 11, 2022",413
"Feb 12, 2022",297
"Feb 13, 2022",366
"Feb 14, 2022",480
"Feb 15, 2022",455
"Feb 16, 2022",458
"Feb 17, 2022",468
"Feb 18, 2022",395
"Feb 19, 2022",305
"Feb 20, 2022",360
"Feb 21, 2022",495
"Feb 22, 2022",409
"Feb 23, 2022",401
"Feb 24, 2022",391
"Feb 25, 2022",357
"Feb 26, 2022",249
"Feb 27, 2022",270
"Feb 28, 2022",414
"Mar 1, 2022",343
"Mar 2, 2022",303
"Mar 3, 2022",311
"Mar 4, 2022",356
"Mar 5, 2022",215
"Mar 6, 2022",245
"Mar 7, 2022",315
"Mar 8, 2022",289
"Mar 9, 2022",281
"Mar 10, 2022",245
"Mar 11, 2022",253
"Mar 12, 2022",199
"Mar 13, 2022",190
"Mar 14, 2022",284
"Mar 15, 2022",249
"Mar 16, 2022",227
"Mar 17, 2022",221
"Mar 18, 2022",190
"Mar 19, 2022",167
"Mar 20, 2022",151
"Mar 21, 2022",215
"Mar 22, 2022",197
"Mar 23, 2022",235
"Mar 24, 2022",156
"Mar 25, 2022",153
"Mar 26, 2022",100
"Mar 27, 2022",76
